logFC	logCPM	LR	PValue	status
>NEG_30617672	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30617704	 -0.807267	 5.1237	1.416e-01	0.706669	Neg
>NEG_30618060	 -7.145254	 3.0750	2.746e+00	0.097483	Neg
>NEG_30618080	  0.886559	 2.5354	1.441e-01	0.704283	Neg
>NEG_30618171	 -0.552797	 4.7884	6.624e-02	0.796887	Neg
>NEG_30620471	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30620622	 -2.941446	 3.9577	1.371e+00	0.241725	Neg
>NEG_30631389	 -0.664658	 2.4578	7.146e-02	0.789225	Neg
>NEG_30631395	 -0.171240	 6.6068	6.706e-03	0.934732	Neg
>NEG_30631474	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30631990	 -0.929885	 3.8959	1.727e-01	0.677697	Neg
>NEG_30632031	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30632036	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30632095	 -2.063330	 3.3061	6.893e-01	0.406394	Neg
>NEG_30632339	 -0.672366	 3.2412	8.532e-02	0.770208	Neg
>NEG_30632353	 -0.316295	 4.4474	2.152e-02	0.883373	Neg
>NEG_30632443	  0.005219	 5.3386	6.105e-06	0.998028	Neg
>NEG_30632468	 -0.331091	 4.6633	2.382e-02	0.877336	Neg
>NEG_30632716	  0.215886	 4.7295	1.027e-02	0.919293	Neg
>NEG_30632951	  0.899442	 4.1084	1.729e-01	0.677587	Neg
>NEG_30632995	 -0.933766	 6.4100	1.947e-01	0.659009	Neg
>NEG_30633013	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30633019	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30633040	  0.730107	 3.9642	1.133e-01	0.736463	Neg
>NEG_30633063	 -0.223816	 4.7870	1.098e-02	0.916546	Neg
>NEG_30633074	 -1.523494	 4.2856	4.566e-01	0.499222	Neg
>NEG_30646993	  0.309538	 2.0223	1.508e-02	0.902267	Neg
>NEG_30647047	  0.592017	 6.2044	7.957e-02	0.777881	Neg
>NEG_30647054	 -1.767152	 4.4587	6.088e-01	0.435242	Neg
>NEG_30647083	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30647095	 -1.861339	 4.0046	6.399e-01	0.423756	Neg
>NEG_30647408	  1.002702	 4.6907	2.193e-01	0.639555	Neg
>NEG_30647415	 -1.089675	 4.3703	2.438e-01	0.621496	Neg
>NEG_30647523	  1.510395	 3.4681	4.620e-01	0.496673	Neg
>NEG_30673267	  0.188075	 5.3537	7.940e-03	0.928996	Neg
>NEG_30677588	 -1.440781	 5.9893	4.472e-01	0.503672	Neg
>NEG_30677627	  0.468481	 3.8277	4.624e-02	0.829745	Neg
>NEG_30677635	  0.678057	 3.9842	9.783e-02	0.754447	Neg
>NEG_30689795	 -0.049136	 3.7743	5.012e-04	0.982139	Neg
>NEG_30689902	 -0.139364	 5.3009	4.340e-03	0.947475	Neg
>NEG_30690705	 -3.868136	 1.1489	5.868e-01	0.443655	Neg
>NEG_30690826	 -0.169910	 4.5772	6.279e-03	0.936843	Neg
>NEG_30691158	  1.005490	 4.0714	2.152e-01	0.642734	Neg
>NEG_30691827	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30691866	 -9.312384	 4.9377	5.165e+00	0.023044	Neg
>NEG_30692004	  0.053809	 6.9712	6.655e-04	0.979419	Neg
>NEG_30693051	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30693073	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_30693134	 -1.084115	 3.4845	2.211e-01	0.638211	Neg
>NEG_30693203	 -0.945471	 5.3733	1.947e-01	0.659059	Neg
>NEG_30693472	 -0.084506	 5.7591	1.614e-03	0.967951	Neg
>NEG_30693479	 -2.346958	 3.5075	8.872e-01	0.346246	Neg
>NEG_30693496	  0.094471	 2.1072	1.416e-03	0.969986	Neg
>NEG_30693521	  0.278704	 4.1519	1.667e-02	0.897276	Neg
>NEG_30693566	  0.213772	 5.0067	1.016e-02	0.919704	Neg
>NEG_30693604	 -0.548029	 3.1723	5.669e-02	0.811805	Neg
>NEG_30702639	 -1.436027	 5.8530	4.428e-01	0.505790	Neg
>NEG_30702674	 -1.057582	 3.9758	2.229e-01	0.636857	Neg
>NEG_30722212	  1.052139	 4.5424	2.400e-01	0.624220	Neg
>NEG_30722229	  1.698366	 3.8676	5.935e-01	0.441063	Neg
>NEG_30722758	 -3.331746	 0.9711	4.187e-01	0.517592	Neg
>NEG_30722800	 -1.834974	 3.9858	6.224e-01	0.430151	Neg
>NEG_30746489	  0.876630	 5.0700	1.700e-01	0.680132	Neg
>NEG_30746557	  1.073685	 2.4733	2.096e-01	0.647073	Neg
>NEG_30746583	 -1.257007	 4.1048	3.134e-01	0.575629	Neg
>NEG_30746601	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_30746634	  0.575812	 3.1316	6.575e-02	0.797635	Neg
>NEG_30746662	 -0.543577	 5.6361	6.594e-02	0.797346	Neg
>NEG_30746719	  1.307157	 3.5265	3.496e-01	0.554317	Neg
>NEG_30746850	 -0.534262	 6.2352	6.449e-02	0.799540	Neg
>NEG_30746897	  2.195871	 3.3078	9.354e-01	0.333459	Neg
>NEG_30748525	  0.399940	 4.0984	3.425e-02	0.853166	Neg
>NEG_30748545	 -0.518358	 4.0234	5.573e-02	0.813375	Neg
>NEG_30748567	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30748581	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30748718	 -0.844619	 5.8197	1.581e-01	0.690923	Neg
>NEG_30748739	 -0.654462	 5.3375	9.441e-02	0.758641	Neg
>NEG_30748767	 -1.766046	 3.1051	5.068e-01	0.476522	Neg
>NEG_30748835	 -6.368324	 2.5006	2.046e+00	0.152588	Neg
>NEG_30754822	 -6.837357	 2.8401	2.456e+00	0.117097	Neg
>NEG_30754832	 -1.073171	 2.6793	1.872e-01	0.665236	Neg
>NEG_30754863	 -0.286847	 4.6393	1.789e-02	0.893607	Neg
>NEG_30754906	 -3.868136	 1.1489	5.868e-01	0.443655	Neg
>NEG_30754926	  1.259273	 1.7204	2.381e-01	0.625574	Neg
>NEG_30754997	 -1.117428	 4.0139	2.485e-01	0.618142	Neg
>NEG_30755065	 -1.665782	 3.8667	5.156e-01	0.472728	Neg
>NEG_30757938	 -0.295972	 7.1188	2.010e-02	0.887261	Neg
>NEG_30758067	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_30758369	  0.575812	 3.1316	6.575e-02	0.797635	Neg
>NEG_30758410	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_30758488	 -1.528082	 5.2142	4.869e-01	0.485334	Neg
>NEG_30763041	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30763690	 -0.258273	 2.2602	1.070e-02	0.917631	Neg
>NEG_30763717	 -1.292234	 3.6162	3.131e-01	0.575811	Neg
>NEG_30766398	  1.541592	 2.3376	4.219e-01	0.515988	Neg
>NEG_30766428	  0.892524	 3.0126	1.564e-01	0.692534	Neg
>NEG_30766454	 -0.665965	 6.1654	9.967e-02	0.752224	Neg
>NEG_30766505	 -0.112898	 5.0349	2.826e-03	0.957601	Neg
>NEG_30766526	 -0.073753	 7.8836	1.257e-03	0.971721	Neg
>NEG_30766532	 -0.761188	 4.9129	1.251e-01	0.723552	Neg
>NEG_30766545	  0.397701	 3.2048	3.150e-02	0.859124	Neg
>NEG_30776323	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30793179	  0.953957	 6.0697	2.044e-01	0.651217	Neg
>NEG_30793223	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_30793273	  0.229543	 6.9540	1.210e-02	0.912397	Neg
>NEG_30793288	  1.288752	 2.4075	2.989e-01	0.584570	Neg
>NEG_30793298	  0.650891	 5.4266	9.491e-02	0.758020	Neg
>NEG_30793306	 -1.073171	 2.6793	1.872e-01	0.665236	Neg
>NEG_30793327	  1.848363	 2.2629	5.953e-01	0.440386	Neg
>NEG_30795116	  0.149238	 4.5998	4.878e-03	0.944319	Neg
>NEG_30795129	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_30795855	 -0.558512	 6.8705	7.101e-02	0.789865	Neg
>NEG_30795942	 -1.567070	 4.3160	4.824e-01	0.487356	Neg
>NEG_30795984	 -5.905540	 2.1893	1.684e+00	0.194443	Neg
>NEG_30796669	 -0.120587	 5.5058	3.267e-03	0.954417	Neg
>NEG_30796681	 -5.032938	 1.6741	1.117e+00	0.290657	Neg
>NEG_30796689	  0.309538	 2.0223	1.508e-02	0.902267	Neg
>NEG_30796692	 -0.411956	 3.0994	3.202e-02	0.857980	Neg
>NEG_30796716	 -5.032938	 1.6741	1.117e+00	0.290657	Neg
>NEG_30797226	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_30797255	  1.259273	 1.7204	2.381e-01	0.625574	Neg
>NEG_30797260	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30797288	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_30798487	  0.295412	 5.8048	1.977e-02	0.888185	Neg
>NEG_30798538	 -0.138716	 3.8193	3.996e-03	0.949597	Neg
>NEG_30798570	  0.629747	 4.9486	8.786e-02	0.766921	Neg
>NEG_30801887	 -5.792067	 2.1168	1.601e+00	0.205727	Neg
>NEG_30806177	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30806221	 -6.108778	 2.3229	1.838e+00	0.175228	Neg
>NEG_30806289	  1.298908	 2.8800	3.255e-01	0.568345	Neg
>NEG_30806460	 -2.787332	 3.8375	1.237e+00	0.266079	Neg
>NEG_30806522	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_30806566	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30806711	 -1.651580	 3.0305	4.436e-01	0.505383	Neg
>NEG_30806741	  2.513264	 3.7013	1.228e+00	0.267727	Neg
>NEG_30806757	 -0.630972	 7.2771	9.079e-02	0.763171	Neg
>NEG_30806828	  0.567981	 7.6454	7.407e-02	0.785501	Neg
>NEG_30818554	 -0.593030	 3.6964	7.055e-02	0.790535	Neg
>NEG_30818582	  0.484010	 3.1688	4.656e-02	0.829152	Neg
>NEG_30818609	 -0.360907	 4.8613	2.852e-02	0.865885	Neg
>NEG_30818625	  0.477398	 5.4120	5.117e-02	0.821041	Neg
>NEG_30818639	 -1.292234	 3.6162	3.131e-01	0.575811	Neg
>NEG_30818669	 -1.240915	 2.7767	2.506e-01	0.616681	Neg
>NEG_30818674	  0.097021	 4.7856	2.076e-03	0.963662	Neg
>NEG_30818698	  1.795663	 1.5979	4.675e-01	0.494144	Neg
>NEG_30820315	 -0.874244	 5.1657	1.658e-01	0.683857	Neg
>NEG_30820369	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_30820413	 -5.534230	 1.9580	1.424e+00	0.232801	Neg
>NEG_30822451	 -3.331746	 0.9711	4.187e-01	0.517592	Neg
>NEG_30822500	 -6.654652	 2.7051	2.291e+00	0.130099	Neg
>NEG_30822581	  1.260668	 4.3311	3.397e-01	0.560020	Neg
>NEG_30822618	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30835371	 -7.359566	 3.2437	2.958e+00	0.085458	Neg
>NEG_30835491	  0.317647	 3.8929	2.132e-02	0.883918	Neg
>NEG_30839926	 -6.445407	 2.5548	2.111e+00	0.146278	Neg
>NEG_30845452	 -0.674976	 3.7435	9.133e-02	0.762493	Neg
>NEG_30845518	  1.748981	 5.7400	6.597e-01	0.416662	Neg
>NEG_30845539	 -1.330483	 3.6411	3.316e-01	0.564710	Neg
>NEG_30845544	 -0.435439	 6.3754	4.304e-02	0.835654	Neg
>NEG_30845599	 -0.069017	 4.5253	1.036e-03	0.974323	Neg
>NEG_30845657	 -5.905540	 2.1893	1.684e+00	0.194443	Neg
>NEG_30857785	 -0.931220	 5.5098	1.898e-01	0.663078	Neg
>NEG_30857823	  1.894171	 4.4420	7.474e-01	0.387309	Neg
>NEG_30857844	  0.696225	 5.0338	1.075e-01	0.742980	Neg
>NEG_30866479	  0.225196	 3.9345	1.073e-02	0.917502	Neg
>NEG_30866491	 -0.611536	 3.2072	7.059e-02	0.790478	Neg
>NEG_30866544	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_30866565	 -1.469252	 5.7303	4.608e-01	0.497249	Neg
>NEG_30866600	 -0.460663	 3.6224	4.260e-02	0.836473	Neg
>NEG_30886570	 -1.872095	 3.1756	5.689e-01	0.450692	Neg
>NEG_30886619	  0.251471	 4.3713	1.372e-02	0.906748	Neg
>NEG_30886653	 -5.032938	 1.6741	1.117e+00	0.290657	Neg
>NEG_30886671	  2.077206	 5.0134	9.014e-01	0.342404	Neg
>NEG_30897878	 -6.947454	 2.9230	2.558e+00	0.109757	Neg
>NEG_30897981	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30902893	  2.859689	 3.4413	1.529e+00	0.216322	Neg
>NEG_30902932	 -0.092655	 2.1862	1.370e-03	0.970473	Neg
>NEG_30902960	 -1.178810	 4.9717	2.937e-01	0.587850	Neg
>NEG_30903000	 -0.883326	 2.5736	1.266e-01	0.721972	Neg
>NEG_30904416	 -5.792067	 2.1168	1.601e+00	0.205727	Neg
>NEG_30904430	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30904438	  0.640719	 5.9746	9.284e-02	0.760599	Neg
>NEG_30904730	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_30914242	 -0.279041	 5.2545	1.733e-02	0.895280	Neg
>NEG_30919923	 -0.198540	 4.1419	8.361e-03	0.927142	Neg
>NEG_30920009	 -7.234834	 3.1450	2.834e+00	0.092299	Neg
>NEG_30920150	  0.226152	 5.4324	1.150e-02	0.914590	Neg
>NEG_30920170	  0.201084	 2.8035	7.569e-03	0.930672	Neg
>NEG_30923953	  2.184967	 5.5392	9.987e-01	0.317633	Neg
>NEG_30923980	  0.318786	 4.9590	2.257e-02	0.880582	Neg
>NEG_30923987	 -0.153903	 5.6196	5.333e-03	0.941782	Neg
>NEG_30924050	  0.166870	 4.2033	5.983e-03	0.938343	Neg
>NEG_30925263	 -5.905540	 2.1893	1.684e+00	0.194443	Neg
>NEG_30952137	 -5.032938	 1.6741	1.117e+00	0.290657	Neg
>NEG_30952290	  0.006566	 5.1061	9.601e-06	0.997528	Neg
>NEG_30953582	  0.335121	 5.3832	2.522e-02	0.873809	Neg
>NEG_30953604	 -3.432288	 4.3551	1.831e+00	0.176021	Neg
>NEG_30953647	  0.051183	 6.0541	5.959e-04	0.980525	Neg
>NEG_30953657	 -1.552575	 6.3044	5.193e-01	0.471149	Neg
>NEG_30953686	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30956603	  0.796584	 5.9708	1.430e-01	0.705334	Neg
>NEG_30956668	 -5.792067	 2.1168	1.601e+00	0.205727	Neg
>NEG_30957718	  0.375354	 5.1658	3.147e-02	0.859193	Neg
>NEG_30957768	  0.030086	 4.2687	1.947e-04	0.988867	Neg
>NEG_30957790	  0.961986	 5.8564	2.072e-01	0.648967	Neg
>NEG_30957793	 -0.093957	 2.9392	1.661e-03	0.967491	Neg
>NEG_30957860	 -0.258273	 2.2602	1.070e-02	0.917631	Neg
>NEG_30958285	  0.060191	 5.0797	8.066e-04	0.977343	Neg
>NEG_30958303	 -1.259050	 4.4820	3.238e-01	0.569306	Neg
>NEG_30958331	  1.592498	 5.4217	5.492e-01	0.458639	Neg
>NEG_30958363	 -5.792067	 2.1168	1.601e+00	0.205727	Neg
>NEG_30958573	 -7.772406	 3.5798	3.386e+00	0.065759	Neg
>NEG_30958685	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30959571	  0.096371	 3.3391	1.860e-03	0.965603	Neg
>NEG_30959711	 -5.905540	 2.1893	1.684e+00	0.194443	Neg
>NEG_30960159	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_30960269	 -1.017003	 4.6197	2.169e-01	0.641440	Neg
>NEG_30960284	 -1.527243	 2.9514	3.796e-01	0.537843	Neg
>NEG_30960297	 -0.583619	 4.0606	7.060e-02	0.790464	Neg
>NEG_30960568	 -0.634585	 3.7201	8.076e-02	0.776273	Neg
>NEG_30960606	 -0.051635	 6.0398	6.059e-04	0.980362	Neg
>NEG_30960614	 -0.060447	 6.0442	8.303e-04	0.977012	Neg
>NEG_30960619	  0.225196	 3.9345	1.073e-02	0.917502	Neg
>NEG_30960682	  5.127409	 1.2992	2.965e+00	0.085105	Neg
>NEG_30960724	 -0.883326	 2.5736	1.266e-01	0.721972	Neg
>NEG_30961961	 -0.104930	 6.8705	2.527e-03	0.959912	Neg
>NEG_30962063	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30962114	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_30962138	  0.096371	 3.3391	1.860e-03	0.965603	Neg
>NEG_30962195	  0.575812	 3.1316	6.575e-02	0.797635	Neg
>NEG_30962198	 -0.277897	 5.3746	1.724e-02	0.895527	Neg
>NEG_30962329	 -0.207171	 5.8232	9.697e-03	0.921556	Neg
>NEG_30962349	  0.246982	 5.2232	1.365e-02	0.906994	Neg
>NEG_30962371	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30968767	 -0.416514	 5.7628	3.897e-02	0.843504	Neg
>NEG_30968817	  0.698120	 5.4885	1.092e-01	0.741030	Neg
>NEG_30968843	  0.345431	 4.6710	2.624e-02	0.871316	Neg
>NEG_30968882	 -5.668901	 2.0399	1.515e+00	0.218417	Neg
>NEG_30983750	  0.239183	 3.2738	1.143e-02	0.914858	Neg
>NEG_30983787	 -7.831036	 3.6286	3.449e+00	0.063305	Neg
>NEG_30983811	 -5.905540	 2.1893	1.684e+00	0.194443	Neg
>NEG_30983828	 -1.573113	 3.8029	4.610e-01	0.497161	Neg
>NEG_30983869	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30989680	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30989686	  1.298908	 2.8800	3.255e-01	0.568345	Neg
>NEG_30989882	 -0.307548	 5.2701	2.104e-02	0.884667	Neg
>NEG_30989935	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30989990	  0.761283	 3.7111	1.212e-01	0.727772	Neg
>NEG_30990004	 -3.331746	 0.9711	4.187e-01	0.517592	Neg
>NEG_30991385	 -1.769928	 6.3543	6.654e-01	0.414649	Neg
>NEG_30998153	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30998165	 -0.316295	 4.4474	2.152e-02	0.883373	Neg
>NEG_30998198	 -0.317129	 5.7073	2.262e-02	0.880451	Neg
>NEG_30998451	 -0.481596	 3.1364	4.377e-02	0.834274	Neg
>NEG_30998569	  0.017145	 5.5324	6.620e-05	0.993508	Neg
>NEG_30998604	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_31018353	 -0.026014	 6.9413	1.555e-04	0.990052	Neg
>NEG_31018375	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31018447	  1.966297	 4.2940	7.982e-01	0.371643	Neg
>NEG_31018453	 -0.616398	 4.6172	8.145e-02	0.775336	Neg
>NEG_31018545	 -1.527243	 2.9514	3.796e-01	0.537843	Neg
>NEG_31031423	  0.892524	 3.0126	1.564e-01	0.692534	Neg
>NEG_31031469	 -6.010735	 2.2578	1.762e+00	0.184336	Neg
>NEG_31031477	 -1.017003	 4.6197	2.169e-01	0.641440	Neg
>NEG_31031501	 -0.153475	 4.3611	5.069e-03	0.943239	Neg
>NEG_31050265	  1.253478	 4.1722	3.337e-01	0.563473	Neg
>NEG_31050290	 -5.668901	 2.0399	1.515e+00	0.218417	Neg
>NEG_31050465	 -0.697446	 4.6654	1.041e-01	0.746922	Neg
>NEG_31050471	 -0.367783	 5.9913	3.056e-02	0.861223	Neg
>NEG_31057710	 -0.145630	 5.5189	4.765e-03	0.944966	Neg
>NEG_31057731	 -1.252943	 3.5909	2.945e-01	0.587337	Neg
>NEG_31057804	 -0.381988	 6.2165	3.308e-02	0.855672	Neg
>NEG_31062133	 -1.443978	 5.3652	4.402e-01	0.507013	Neg
>NEG_31084113	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_31084168	 -0.962884	 3.9164	1.851e-01	0.667029	Neg
>NEG_31084270	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31118665	  0.899442	 4.1084	1.729e-01	0.677587	Neg
>NEG_31118674	 -6.718160	 2.7516	2.348e+00	0.125462	Neg
>NEG_31118726	  0.248553	 4.8592	1.367e-02	0.906910	Neg
>NEG_31118750	 -0.933229	 4.8113	1.855e-01	0.666727	Neg
>NEG_31120161	  1.602706	 6.7651	5.638e-01	0.452730	Neg
>NEG_31120223	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_31120228	  2.291878	 3.5317	1.028e+00	0.310741	Neg
>NEG_31120255	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31120368	 -0.500665	 6.2156	5.667e-02	0.811845	Neg
>NEG_31120378	 -0.529520	 7.6185	6.427e-02	0.799874	Neg
>NEG_31120395	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31144739	 -6.518580	 2.6068	2.173e+00	0.140463	Neg
>NEG_31144798	  1.005490	 4.0714	2.152e-01	0.642734	Neg
>NEG_31144825	  0.363030	 4.9394	2.925e-02	0.864203	Neg
>NEG_31144875	  0.087015	 6.8854	1.739e-03	0.966737	Neg
>NEG_31146586	 -1.001369	 6.8986	2.248e-01	0.635405	Neg
>NEG_31155593	 -0.847042	 4.7570	1.531e-01	0.695579	Neg
>NEG_31155606	 -1.439498	 3.7128	3.873e-01	0.533735	Neg
>NEG_31155655	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31155692	 -0.826100	 3.8328	1.366e-01	0.711733	Neg
>NEG_31159887	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31159977	 -4.565031	 1.4400	8.742e-01	0.349789	Neg
>NEG_31160060	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31163472	 -5.792067	 2.1168	1.601e+00	0.205727	Neg
>NEG_31163499	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31186680	  1.215355	 3.5546	3.035e-01	0.581671	Neg
>NEG_31186730	 -8.827864	 4.4956	4.580e+00	0.032346	Neg
>NEG_31186733	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_31186769	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31186799	 -0.991664	 3.4279	1.852e-01	0.666942	Neg
>NEG_31190069	  1.574347	 4.3873	5.241e-01	0.469110	Neg
>NEG_31190152	 -5.792067	 2.1168	1.601e+00	0.205727	Neg
>NEG_31190192	  0.162006	 6.2371	5.987e-03	0.938327	Neg
>NEG_31190378	  1.390672	 3.7432	4.002e-01	0.526974	Neg
>NEG_31190469	 -2.858456	 4.7740	1.444e+00	0.229514	Neg
>NEG_31190494	  5.127409	 1.2992	2.965e+00	0.085105	Neg
>NEG_31190515	 -6.947454	 2.9230	2.558e+00	0.109757	Neg
>NEG_31190749	  1.304050	 3.2384	3.402e-01	0.559690	Neg
>NEG_31190948	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_31191030	  0.096613	 3.7036	1.935e-03	0.964911	Neg
>NEG_31191112	 -2.468360	 0.7611	2.268e-01	0.633883	Neg
>NEG_31204021	 -5.032938	 1.6741	1.117e+00	0.290657	Neg
>NEG_31204071	 -1.212552	 3.5651	2.760e-01	0.599312	Neg
>NEG_31204134	 -3.331746	 0.9711	4.187e-01	0.517592	Neg
>NEG_31204144	  1.259273	 1.7204	2.381e-01	0.625574	Neg
>NEG_31204219	 -1.100472	 5.9866	2.661e-01	0.605939	Neg
>NEG_31204238	 -0.981369	 2.6276	1.564e-01	0.692454	Neg
>NEG_31213354	  1.190577	 3.2734	2.851e-01	0.593381	Neg
