chrm 	start 	end 	name
chr6	30164851	30166406	chr6:30164851-30166406
chr6	30165014	30166445	chr6:30165014-30166445
chr6	30165124	30167386	chr6:30165124-30167386
chr6	30165166	30166537	chr6:30165166-30166537
chr6	30165262	30173287	chr6:30165262-30173287
chr6	30165657	30166726	chr6:30165657-30166726
chr6	30165692	30168179	chr6:30165692-30168179
chr6	30165743	30166896	chr6:30165743-30166896
chr6	30166025	30167171	chr6:30166025-30167171
chr6	30166048	30168495	chr6:30166048-30168495
chr6	30166208	30167271	chr6:30166208-30167271
chr6	30166272	30168669	chr6:30166272-30168669
chr6	30166341	30167372	chr6:30166341-30167372
chr6	30166425	30173870	chr6:30166425-30173870
chr6	30166444	30167919	chr6:30166444-30167919
chr6	30166512	30169079	chr6:30166512-30169079
chr6	30166536	30168128	chr6:30166536-30168128
chr6	30166680	30168314	chr6:30166680-30168314
chr6	30166860	30168435	chr6:30166860-30168435
chr6	30166892	30169256	chr6:30166892-30169256
chr6	30166950	30174853	chr6:30166950-30174853
chr6	30167013	30168494	chr6:30167013-30168494
chr6	30167184	30168651	chr6:30167184-30168651
chr6	30167371	30168810	chr6:30167371-30168810
chr6	30167373	30169865	chr6:30167373-30169865
chr6	30167743	30168841	chr6:30167743-30168841
chr6	30168138	30169034	chr6:30168138-30169034
chr6	30168189	30170339	chr6:30168189-30170339
chr6	30168195	30175423	chr6:30168195-30175423
chr6	30168233	30169178	chr6:30168233-30169178
chr6	30168371	30169773	chr6:30168371-30169773
chr6	30168436	30172255	chr6:30168436-30172255
chr6	30168460	30169874	chr6:30168460-30169874
chr6	30168578	30170253	chr6:30168578-30170253
chr6	30168638	30172428	chr6:30168638-30172428
chr6	30168692	30170596	chr6:30168692-30170596
chr6	30168817	30171562	chr6:30168817-30171562
chr6	30168834	30178237	chr6:30168834-30178237
chr6	30168859	30172690	chr6:30168859-30172690
chr6	30169033	30171945	chr6:30169033-30171945
chr6	30169078	30173147	chr6:30169078-30173147
chr6	30169186	30172061	chr6:30169186-30172061
chr6	30169761	30172206	chr6:30169761-30172206
chr6	30169774	30173851	chr6:30169774-30173851
chr6	30169870	30172374	chr6:30169870-30172374
chr6	30170238	30172669	chr6:30170238-30172669
chr6	30170338	30174159	chr6:30170338-30174159
chr6	30170361	30173050	chr6:30170361-30173050
chr6	30171507	30173100	chr6:30171507-30173100
chr6	30171929	30173192	chr6:30171929-30173192
chr6	30172056	30173638	chr6:30172056-30173638
chr6	30172197	30173731	chr6:30172197-30173731
chr6	30172207	30174825	chr6:30172207-30174825
chr6	30172258	30179364	chr6:30172258-30179364
chr6	30172373	30173862	chr6:30172373-30173862
chr6	30172442	30175332	chr6:30172442-30175332
chr6	30172614	30173972	chr6:30172614-30173972
chr6	30172689	30176098	chr6:30172689-30176098
chr6	30172737	30174096	chr6:30172737-30174096
chr6	30173103	30174271	chr6:30173103-30174271
chr6	30173118	30176104	chr6:30173118-30176104
chr6	30173189	30174596	chr6:30173189-30174596
chr6	30173197	30180782	chr6:30173197-30180782
chr6	30173340	30174808	chr6:30173340-30174808
chr6	30173669	30174801	chr6:30173669-30174801
chr6	30173850	30176805	chr6:30173850-30176805
chr6	30173861	30175192	chr6:30173861-30175192
chr6	30173869	30180802	chr6:30173869-30180802
chr6	30173973	30175213	chr6:30173973-30175213
chr6	30174077	30175331	chr6:30174077-30175331
chr6	30174106	30178070	chr6:30174106-30178070
chr6	30174207	30175452	chr6:30174207-30175452
chr6	30174414	30175668	chr6:30174414-30175668
chr6	30174648	30175727	chr6:30174648-30175727
chr6	30174796	30176014	chr6:30174796-30176014
chr6	30174802	30178106	chr6:30174802-30178106
chr6	30174852	30181412	chr6:30174852-30181412
chr6	30174977	30176054	chr6:30174977-30176054
chr6	30175211	30176537	chr6:30175211-30176537
chr6	30175292	30179243	chr6:30175292-30179243
chr6	30175325	30176770	chr6:30175325-30176770
chr6	30175344	30181847	chr6:30175344-30181847
chr6	30175429	30176771	chr6:30175429-30176771
chr6	30175520	30179246	chr6:30175520-30179246
chr6	30175563	30176956	chr6:30175563-30176956
chr6	30175684	30177426	chr6:30175684-30177426
chr6	30175957	30177447	chr6:30175957-30177447
chr6	30176053	30178063	chr6:30176053-30178063
chr6	30176087	30179731	chr6:30176087-30179731
chr6	30176345	30178177	chr6:30176345-30178177
chr6	30176529	30178341	chr6:30176529-30178341
chr6	30176770	30178802	chr6:30176770-30178802
chr6	30176791	30180768	chr6:30176791-30180768
chr6	30176950	30179117	chr6:30176950-30179117
chr6	30176980	30182515	chr6:30176980-30182515
chr6	30177287	30179218	chr6:30177287-30179218
chr6	30177433	30179372	chr6:30177433-30179372
chr6	30177491	30181030	chr6:30177491-30181030
chr6	30178034	30179725	chr6:30178034-30179725
chr6	30178073	30181279	chr6:30178073-30181279
chr6	30178188	30180245	chr6:30178188-30180245
chr6	30178249	30183223	chr6:30178249-30183223
chr6	30178340	30180556	chr6:30178340-30180556
chr6	30178342	30181490	chr6:30178342-30181490
chr6	30178727	30180740	chr6:30178727-30180740
chr6	30178982	30180795	chr6:30178982-30180795
chr6	30179232	30181022	chr6:30179232-30181022
chr6	30179245	30181803	chr6:30179245-30181803
chr6	30179347	30181024	chr6:30179347-30181024
chr6	30179700	30181194	chr6:30179700-30181194
chr6	30179730	30182490	chr6:30179730-30182490
chr6	30179780	30187197	chr6:30179780-30187197
chr6	30179986	30181278	chr6:30179986-30181278
chr6	30180250	30181417	chr6:30180250-30181417
chr6	30180664	30181500	chr6:30180664-30181500
chr6	30180747	30183131	chr6:30180747-30183131
chr6	30180782	30181639	chr6:30180782-30181639
chr6	30180811	30187314	chr6:30180811-30187314
chr6	30180905	30181775	chr6:30180905-30181775
chr6	30181023	30182091	chr6:30181023-30182091
chr6	30181029	30183454	chr6:30181029-30183454
chr6	30181142	30182144	chr6:30181142-30182144
chr6	30181253	30182278	chr6:30181253-30182278
chr6	30181265	30183818	chr6:30181265-30183818
chr6	30181313	30193382	chr6:30181313-30193382
chr6	30181388	30182351	chr6:30181388-30182351
chr6	30181488	30182489	chr6:30181488-30182489
chr6	30181501	30184187	chr6:30181501-30184187
chr6	30181612	30182668	chr6:30181612-30182668
chr6	30181763	30184631	chr6:30181763-30184631
chr6	30181771	30183044	chr6:30181771-30183044
chr6	30181822	30199337	chr6:30181822-30199337
chr6	30181887	30183130	chr6:30181887-30183130
chr6	30182106	30183203	chr6:30182106-30183203
chr6	30182226	30183440	chr6:30182226-30183440
chr6	30182350	30183747	chr6:30182350-30183747
chr6	30182354	30186461	chr6:30182354-30186461
chr6	30182445	30184046	chr6:30182445-30184046
chr6	30182497	30199651	chr6:30182497-30199651
chr6	30182620	30184176	chr6:30182620-30184176
chr6	30182999	30184243	chr6:30182999-30184243
chr6	30183101	30184385	chr6:30183101-30184385
chr6	30183111	30187190	chr6:30183111-30187190
chr6	30183186	30206544	chr6:30183186-30206544
chr6	30183202	30184604	chr6:30183202-30184604
chr6	30183439	30185126	chr6:30183439-30185126
chr6	30183442	30187435	chr6:30183442-30187435
chr6	30183746	30185286	chr6:30183746-30185286
chr6	30183778	30193238	chr6:30183778-30193238
chr6	30184012	30185826	chr6:30184012-30185826
chr6	30184085	30193248	chr6:30184085-30193248
chr6	30184132	30185924	chr6:30184132-30185924
chr6	30184230	30209956	chr6:30184230-30209956
chr6	30184237	30186295	chr6:30184237-30186295
chr6	30184336	30193738	chr6:30184336-30193738
chr6	30184345	30186455	chr6:30184345-30186455
chr6	30184587	30187030	chr6:30184587-30187030
chr6	30184689	30187168	chr6:30184689-30187168
chr6	30185279	30187251	chr6:30185279-30187251
chr6	30185384	30187416	chr6:30185384-30187416
chr6	30185827	30188676	chr6:30185827-30188676
chr6	30186293	30189078	chr6:30186293-30189078
chr6	30186446	30189220	chr6:30186446-30189220
chr6	30186460	30194305	chr6:30186460-30194305
chr6	30186964	30190476	chr6:30186964-30190476
chr6	30187108	30190931	chr6:30187108-30190931
chr6	30187203	30195401	chr6:30187203-30195401
chr6	30187241	30191571	chr6:30187241-30191571
chr6	30187316	30225081	chr6:30187316-30225081
chr6	30187374	30192706	chr6:30187374-30192706
chr6	30187434	30195555	chr6:30187434-30195555
chr6	30188211	30193204	chr6:30188211-30193204
chr6	30188695	30193346	chr6:30188695-30193346
chr6	30189217	30193452	chr6:30189217-30193452
chr6	30190470	30193731	chr6:30190470-30193731
chr6	30190825	30193884	chr6:30190825-30193884
chr6	30190932	30195810	chr6:30190932-30195810
chr6	30190962	30194257	chr6:30190962-30194257
chr6	30192594	30194774	chr6:30192594-30194774
chr6	30193155	30194774	chr6:30193155-30194774
chr6	30193234	30227289	chr6:30193234-30227289
chr6	30193247	30196264	chr6:30193247-30196264
chr6	30193301	30194949	chr6:30193301-30194949
chr6	30193423	30195361	chr6:30193423-30195361
chr6	30193730	30195387	chr6:30193730-30195387
chr6	30193737	30199176	chr6:30193737-30199176
chr6	30193833	30195554	chr6:30193833-30195554
chr6	30194264	30195713	chr6:30194264-30195713
chr6	30194306	30228273	chr6:30194306-30228273
chr6	30194315	30199650	chr6:30194315-30199650
chr6	30194377	30195860	chr6:30194377-30195860
chr6	30194783	30196082	chr6:30194783-30196082
chr6	30194933	30196124	chr6:30194933-30196124
chr6	30194936	30201698	chr6:30194936-30201698
chr6	30195189	30196204	chr6:30195189-30196204
chr6	30195392	30202367	chr6:30195392-30202367
chr6	30195393	30196398	chr6:30195393-30196398
chr6	30195551	30196616	chr6:30195551-30196616
chr6	30195712	30197648	chr6:30195712-30197648
chr6	30195795	30206478	chr6:30195795-30206478
chr6	30195860	30197828	chr6:30195860-30197828
chr6	30195977	30198610	chr6:30195977-30198610
chr6	30196083	30198875	chr6:30196083-30198875
chr6	30196203	30199141	chr6:30196203-30199141
chr6	30196205	30206480	chr6:30196205-30206480
chr6	30196334	30199320	chr6:30196334-30199320
chr6	30196456	30199508	chr6:30196456-30199508
chr6	30197159	30199646	chr6:30197159-30199646
chr6	30197771	30199895	chr6:30197771-30199895
chr6	30198474	30200387	chr6:30198474-30200387
chr6	30198659	30200801	chr6:30198659-30200801
chr6	30199079	30201184	chr6:30199079-30201184
chr6	30199175	30209473	chr6:30199175-30209473
chr6	30199288	30201684	chr6:30199288-30201684
chr6	30199356	30229956	chr6:30199356-30229956
chr6	30199463	30202140	chr6:30199463-30202140
chr6	30199627	30202213	chr6:30199627-30202213
chr6	30199647	30209648	chr6:30199647-30209648
chr6	30199714	30202360	chr6:30199714-30202360
chr6	30200045	30202883	chr6:30200045-30202883
chr6	30200810	30204475	chr6:30200810-30204475
chr6	30201146	30204591	chr6:30201146-30204591
chr6	30201630	30204928	chr6:30201630-30204928
chr6	30201685	30209856	chr6:30201685-30209856
chr6	30201687	30231151	chr6:30201687-30231151
chr6	30201957	30205436	chr6:30201957-30205436
chr6	30202154	30205864	chr6:30202154-30205864
chr6	30202348	30206182	chr6:30202348-30206182
chr6	30202366	30211752	chr6:30202366-30211752
chr6	30202580	30206358	chr6:30202580-30206358
chr6	30203603	30206477	chr6:30203603-30206477
chr6	30204490	30206546	chr6:30204490-30206546
chr6	30204903	30207512	chr6:30204903-30207512
chr6	30204933	30212345	chr6:30204933-30212345
chr6	30205384	30209022	chr6:30205384-30209022
chr6	30205848	30209425	chr6:30205848-30209425
chr6	30206065	30209481	chr6:30206065-30209481
chr6	30206262	30209631	chr6:30206262-30209631
chr6	30206415	30209763	chr6:30206415-30209763
chr6	30206493	30212581	chr6:30206493-30212581
chr6	30206526	30209887	chr6:30206526-30209887
chr6	30207523	30210077	chr6:30207523-30210077
chr6	30207567	30222734	chr6:30207567-30222734
chr6	30208447	30210624	chr6:30208447-30210624
chr6	30209034	30210824	chr6:30209034-30210824
chr6	30209426	30211683	chr6:30209426-30211683
chr6	30209624	30212237	chr6:30209624-30212237
chr6	30209637	30222743	chr6:30209637-30222743
chr6	30209770	30212253	chr6:30209770-30212253
chr6	30209825	30225032	chr6:30209825-30225032
chr6	30209872	30212362	chr6:30209872-30212362
chr6	30209929	30232024	chr6:30209929-30232024
chr6	30209975	30212580	chr6:30209975-30212580
chr6	30210068	30227010	chr6:30210068-30227010
chr6	30210301	30215368	chr6:30210301-30215368
chr6	30210789	30215658	chr6:30210789-30215658
chr6	30211670	30222341	chr6:30211670-30222341
chr6	30211742	30227254	chr6:30211742-30227254
chr6	30212042	30222354	chr6:30212042-30222354
chr6	30212253	30222733	chr6:30212253-30222733
chr6	30212347	30224195	chr6:30212347-30224195
chr6	30212363	30228014	chr6:30212363-30228014
chr6	30212494	30224367	chr6:30212494-30224367
chr6	30212577	30228171	chr6:30212577-30228171
chr6	30212670	30225016	chr6:30212670-30225016
chr6	30215443	30225530	chr6:30215443-30225530
chr6	30215646	30226576	chr6:30215646-30226576
chr6	30222335	30226887	chr6:30222335-30226887
chr6	30222714	30226932	chr6:30222714-30226932
chr6	30222728	30228496	chr6:30222728-30228496
chr6	30222744	30232955	chr6:30222744-30232955
chr6	30224194	30227172	chr6:30224194-30227172
chr6	30224306	30227292	chr6:30224306-30227292
chr6	30225015	30227395	chr6:30225015-30227395
chr6	30225037	30228796	chr6:30225037-30228796
chr6	30225448	30227796	chr6:30225448-30227796
chr6	30226292	30227988	chr6:30226292-30227988
chr6	30226614	30228112	chr6:30226614-30228112
chr6	30226916	30228272	chr6:30226916-30228272
chr6	30226950	30229653	chr6:30226950-30229653
chr6	30227185	30228416	chr6:30227185-30228416
chr6	30227201	30229958	chr6:30227201-30229958
chr6	30227288	30235207	chr6:30227288-30235207
chr6	30227291	30228719	chr6:30227291-30228719
chr6	30227394	30228795	chr6:30227394-30228795
chr6	30227791	30228992	chr6:30227791-30228992
chr6	30227803	30229960	chr6:30227803-30229960
chr6	30228001	30229584	chr6:30228001-30229584
chr6	30228125	30229733	chr6:30228125-30229733
chr6	30228145	30230179	chr6:30228145-30230179
chr6	30228174	30256579	chr6:30228174-30256579
chr6	30228248	30229893	chr6:30228248-30229893
chr6	30228415	30230127	chr6:30228415-30230127
chr6	30228502	30230997	chr6:30228502-30230997
chr6	30228667	30230284	chr6:30228667-30230284
chr6	30228725	30231244	chr6:30228725-30231244
chr6	30228794	30230453	chr6:30228794-30230453
chr6	30228883	30257922	chr6:30228883-30257922
chr6	30228991	30230649	chr6:30228991-30230649
chr6	30229008	30232001	chr6:30229008-30232001
chr6	30229566	30230756	chr6:30229566-30230756
chr6	30229732	30230832	chr6:30229732-30230832
chr6	30229734	30232214	chr6:30229734-30232214
chr6	30229865	30230971	chr6:30229865-30230971
chr6	30229959	30232716	chr6:30229959-30232716
chr6	30230072	30231163	chr6:30230072-30231163
chr6	30230177	30232954	chr6:30230177-30232954
chr6	30230214	30231243	chr6:30230214-30231243
chr6	30230379	30231692	chr6:30230379-30231692
chr6	30230491	30231975	chr6:30230491-30231975
chr6	30230649	30232159	chr6:30230649-30232159
chr6	30230811	30232234	chr6:30230811-30232234
chr6	30230955	30232662	chr6:30230955-30232662
chr6	30230972	30233178	chr6:30230972-30233178
chr6	30231002	30260998	chr6:30231002-30260998
chr6	30231109	30232671	chr6:30231109-30232671
chr6	30231184	30234196	chr6:30231184-30234196
chr6	30231227	30232846	chr6:30231227-30232846
chr6	30231670	30232937	chr6:30231670-30232937
chr6	30231967	30233122	chr6:30231967-30233122
chr6	30232000	30235153	chr6:30232000-30235153
chr6	30232002	30261579	chr6:30232002-30261579
chr6	30232133	30233246	chr6:30232133-30233246
chr6	30232213	30236771	chr6:30232213-30236771
chr6	30232233	30234022	chr6:30232233-30234022
chr6	30232447	30234082	chr6:30232447-30234082
chr6	30232663	30234136	chr6:30232663-30234136
chr6	30232694	30244032	chr6:30232694-30244032
chr6	30232707	30262327	chr6:30232707-30262327
chr6	30232804	30234375	chr6:30232804-30234375
chr6	30232939	30244641	chr6:30232939-30244641
chr6	30232941	30234434	chr6:30232941-30234434
chr6	30233097	30234637	chr6:30233097-30234637
chr6	30233147	30244704	chr6:30233147-30244704
chr6	30233226	30234835	chr6:30233226-30234835
chr6	30233305	30264004	chr6:30233305-30264004
chr6	30233459	30234985	chr6:30233459-30234985
chr6	30234042	30235147	chr6:30234042-30235147
chr6	30234142	30235208	chr6:30234142-30235208
chr6	30234153	30256543	chr6:30234153-30256543
chr6	30234280	30235648	chr6:30234280-30235648
chr6	30234396	30235735	chr6:30234396-30235735
chr6	30234608	30236664	chr6:30234608-30236664
chr6	30234724	30236726	chr6:30234724-30236726
chr6	30234945	30237503	chr6:30234945-30237503
chr6	30235094	30237510	chr6:30235094-30237510
chr6	30235161	30256924	chr6:30235161-30256924
chr6	30235217	30237927	chr6:30235217-30237927
chr6	30235571	30240388	chr6:30235571-30240388
chr6	30235672	30242444	chr6:30235672-30242444
chr6	30236585	30243109	chr6:30236585-30243109
chr6	30236708	30243640	chr6:30236708-30243640
chr6	30236755	30257550	chr6:30236755-30257550
chr6	30236945	30244028	chr6:30236945-30244028
chr6	30237518	30244249	chr6:30237518-30244249
chr6	30237784	30244413	chr6:30237784-30244413
chr6	30239969	30244458	chr6:30239969-30244458
chr6	30240374	30244632	chr6:30240374-30244632
chr6	30243110	30257801	chr6:30243110-30257801
chr6	30243114	30244737	chr6:30243114-30244737
chr6	30243637	30245077	chr6:30243637-30245077
chr6	30243997	30245227	chr6:30243997-30245227
chr6	30244040	30258063	chr6:30244040-30258063
chr6	30244132	30251171	chr6:30244132-30251171
